Name,Service,Menu,Description,Duration,Price,Extra Time,Staff,Online,Resources
Russian manicure ,Russian Manicure,Nails,"A dry high end manicure with precise cuticle work. 
A clean and crisp cuticle with the effect of less regrowth. 

",85min,36.5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Luxury manicure,Manicure,Nails,"Spoil yourself by upgrading to our luxury manicure.
This service includes 
- Russian manicure cuticle work (gel needs to be booked separately)
- Hand scrub
- Hand soak 
- Hand massage

(Please note this is a service with out gel application - if you would like gel additionally please add on separately)",25min,15,,"['All team members', 'Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Dual form gel extensions ,Gel Nail Extensions,Nails,"For the long nail girls wanting a secure, long strong extension. 
Dual forms are a hard gel extension, which means this is a file off product ",80min,45,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
BIAB extensions  (builder in a bottle) ,Manicure,Nails,"Biab extensions are a builder gel that extend your natural length. 
To kickstart your Biab journey, you can have longer nails from the start! 

Please note you can not add too much length with BIAB extensions as with extensions they are less durable- unlike long natural biab nails- they may not last as long as shorter extensions.",,,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
BIAB Nails ,Manicure,Nails,,,,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
BIAB Infill ,Gel Nails,Nails,,,,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Shellac manicure,Manicure,Nails,"Shellac on the top of natural nails. 
Lasts 2-3 weeks before needing a removal.",60min,27,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)']",TRUE,[]
BIAB removal ,Gel Nails,Nails,Soak off gel nails (hands or toes) ,,,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Acrylic removal,Manicure,Nails,Soak off acrylic previously applied by steph,,,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Nail repair,Manicure,Nails,,15min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)']",TRUE,[]
Acrylic freestyle,Acrylic Nails,Nails,,135min,45,,['Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)'],TRUE,[]
Acrylic extensions infill ,Acrylic Nails,Nails,,90min,40,,['Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)'],TRUE,[]
Nail art,Nail Art,Nails,,15min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Rhinestones ,Gel Nails,Nails,,5min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Chrome,Manicure,Nails,,5min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Mens manicure ,Manicure,Nails,,20min,20,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Childrens manicure (with gel polish),Manicure,Nails,,30min,15,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)']",TRUE,[]
Out of hours fee (after 4pm),Manicure,Nails,"This is to be added to every appointment after 4pm due to these available appointments are our ‘out of hours’ and are treated as over time. 
Thank you kindly",5min,5,5min,"['All team members', 'Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Permanent Jewelry', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Luxury pedicure (Removal of dead skin) and biab toes,Pedicure,Pedicures,"Pamper your hard working feet with our signature pedicure including- 
                 •𝗗𝗘𝗔𝗗 𝗦𝗞𝗜𝗡 𝗥𝗘𝗠𝗢𝗩𝗔𝗟 
                 •𝗙𝗢𝗢𝗧 𝗦𝗖𝗥𝗨𝗕 
                 •𝗚𝗘𝗟/𝗕𝗜𝗔𝗕 𝗠𝗔𝗡𝗜𝗖𝗨𝗥𝗘 
                 •𝗙𝗢𝗢𝗧 𝗠𝗔𝗦𝗦𝗔𝗚𝗘
                 •𝗔𝗡𝗧𝗜 𝗖𝗥𝗔𝗖𝗞𝗜𝗡𝗚 𝗛𝗘𝗘𝗟 𝗧𝗥𝗘𝗔𝗧𝗠𝗘𝗡𝗧 
All treatments are carried out using only PROFESSIONAL products and care
",80min,42,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
BIAB toes,Pedicure,Pedicures,Biab overlay on the natural toe - any gel can go on top of !,45min,30,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Shellac toes,Pedicure,Pedicures,"A normal gel application to achieve a long lasting thin colour application. 
NOTE : application can not be infilled only removed and reapplied.",45min,27,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Esha', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)']",TRUE,[]
Toe nail reconstruction ,Pedicure,Pedicures,With help either hard gel or acrylic we can re sculpt your missing/ damaged toe nail/s bringing back the confidence you need,60min,38,,['Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)'],TRUE,[]
Acrylic toe nails ,Acrylic Nails,Pedicures,"Acrylic toe nails over the natural nail (helps to build a broken corner ect. 
Please note : THIS SERVICE IS NOT FOR RECONSTRUCTING TOE NAILS. 
",60min,35,,['Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)'],TRUE,[]
BIAB toe removal,Pedicure,Pedicures,,10min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Sharan (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
LVL Lash Lift,Lash Lift,Lashes and brows,"SKIN TEST REQUIRED! 
LVL stands for length, volume and lift.
One way to think of a lash lift is like a perm for your eyelashes. Unlike a lash extension, a lash lift simply alters the shape and color of your natural lashes. 
Results last 6-8 weeks !",55min,35,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
HD Brow Sculpt,Eyebrow Shaping,Lashes and brows,"PATCH TEST REQUIRED  
Brow Sculpt is brow lamination with a bespoke HD Brows twist. Whether you dream of achieving that full, fluffy eyebrow look, want to create symmetry in uneven brows or tame unruly hairs, our BrowSculpt brow lamination treatment is for you.
WAX AND TINT INCLUDED",45min,28,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Brow Lamination ,Brow Lamination,Lashes and brows,"PATCH TEST REQUIRED  
A perming technique to manipulate hairs into a new desired position 
WAX AND TINT NOT INCLUDED",35min,20,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Eyebrow Wax And Tint,Eyelash Tinting,Lashes and brows,Eyebrow tint and shaping using wax for a clean crisp brow,15min,10,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Lash removal ,Eyelash Extensions,Lashes and brows,,20min,10,,[],TRUE,[]
Reweld,Perm,Permanent Jewllery,,20min,20,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Bracelet ,Updo,Permanent Jewllery,,25min,60,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Anklet ,Updo,Permanent Jewllery,,20min,65,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Necklace ,Updo,Permanent Jewllery,,25min,95,,"['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Charms,Updo,Permanent Jewllery,"Make your jewellery uniquely yours. 
Choose from birthstones, zodiacs initials and more! 

Please DM us on instagram for our stock.",10min,10,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],TRUE,[]
HYDRO FACIAL,Facial Extractions,Facial,"HYDROFACIAL 
Removes dead skin cells and impurities, while simultaneously delivering moisturizing serums into the skin.

Perfect for all skin types. ",60min,65,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],TRUE,[]
Facial,Facial,Facial,"3 different facials for you needs!
Relaxing facial: Allows you to feel relaxed while having a full cleanse. 
Dermaplaning facial: Removes dead skin and peach fuzz.
All inclusive Facial: Is a mix of both facials with all dead skin and dirt removed and peach fuzz but you will also feel nice and relaxed coming to the end of the facial with a massage. ",,,,['Mia (𝗝𝗨𝗡𝗜𝗢𝗥)'],TRUE,[]
Bridal Trial,Bridal Makeup,Makeup,"We recommend a bridal trial to ensure your dream look comes to life on your big day. During the trial, we will discuss your preferences and many any necessary adjustments. ",90min,60,,['Esha'],TRUE,[]
Bridal Makeup,Bridal Makeup,Makeup,Choose Studio75 for your big day. Eyelashes and a touch up kit is included in this service and a bridal trial is recommended. ,120min,90,,['Esha'],TRUE,[]
"Occasional Glam (Prom, Graduation, Party)",Makeup Service,Makeup,"Makeup suitable for special occasions, that will last all night. This service includes eyelashes.",60min,45,,['Esha'],TRUE,[]
Soft/Full Glam,Makeup Service,Makeup,Achieve your perfect look with either soft or full glam. This service includes eyelashes. ,60min,45,,['Esha'],TRUE,[]
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,60min,34,,,,
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,60min,34,,,,
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,60min,34,,,,
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,60min,34,,,,
BBL Vacuum Therapy BBL Vacuum therapy (5 Sessions), ,,X5 1hr sessions once a week ,60min,34,,,,
BBL Vacuum Therapy ,Body Sculpting,Body Sculpting,,60min,40,,['Topaz'],TRUE,[]
Butterfly set,Permanent Makeup,Tooth gems,,35min,55,,[],TRUE,[]
Full service cover,Permanent Makeup,Tooth gems,,35min,50,,[],TRUE,[]
Window,Permanent Makeup,Tooth gems,,35min,45,,[],TRUE,[]
Classic gem,Permanent Makeup,Tooth gems,,30min,30,,[],TRUE,[]
"Underarm wax Full Leg, Arm and Underarm wax ", ,,"Full Arm wax, Full Leg wax and Underarm wax using soft wax. ",20min,6.95,,,,
"Full Arm wax Full Leg, Arm and Underarm wax ", ,,"Full Arm wax, Full Leg wax and Underarm wax using soft wax. ",35min,12.36,,,,
"Full Leg wax Full Leg, Arm and Underarm wax ", ,,"Full Arm wax, Full Leg wax and Underarm wax using soft wax. ",55min,14.68,,,,
Full Arm wax Full leg and Arm wax , ,,Full leg and Full arm wax using soft wax.,35min,13.26,,,,
Full Leg wax Full leg and Arm wax , ,,Full leg and Full arm wax using soft wax.,55min,15.74,,,,
"Upper lip, Chin and sides face wax ",Face Waxing,Waxing,"Removal of hairs from sides of the face, including sideburns, with upper lip and chin using soft wax. ",35min,13,,[],TRUE,[]
Upper Lip wax ,Face Waxing,Waxing,Includes waxing area above lip using soft wax. ,10min,5,,[],TRUE,[]
Eyebrow wax ,Eyebrow Waxing,Waxing,Brow tidy using soft wax.,15min,5,,"['Becca (𝗦𝗘𝗡𝗜𝗢𝗥)', 'Stephanie (𝗗𝗜𝗥𝗘𝗖𝗧𝗢𝗥)']",TRUE,[]
Stomach wax ,Full Body Waxing,Waxing,Abdomen wax with soft wax.,30min,9,,[],TRUE,[]
Bikini line wax ,Bikini Waxing,Waxing,Bikini line wax using soft wax.,15min,5,,[],TRUE,[]
Full Leg wax ,Leg Waxing,Waxing,Full leg wax from upper thigh to toes with soft wax. ,55min,19,,[],TRUE,[]
Half Leg wax ,Leg Waxing,Waxing,Leg wax from knee to toes with soft wax. ,40min,15,,[],TRUE,[]
Full Arm wax ,Arm Waxing,Waxing,Full arm wax from shoulder to fingers with soft wax. ,35min,16,,[],TRUE,[]
Half Arm wax ,Arm Waxing,Waxing,Half arm wax from elbow to fingers with soft wax. ,25min,11,,[],TRUE,[]
Underarm wax ,Underarm Waxing,Waxing,Armpit area only to be removed with soft or hard wax. ,20min,9,,[],TRUE,[]
